direction,entry_time,entry_price,exit_time,exit_price,duration,pnl,reason
SHORT,2026-01-01T00:00,2979.81,2026-01-01T01:00,2984.32,1,-0.25,Signal flip
LONG,2026-01-01T01:00,2984.32,2026-01-01T06:00,2975.89,5,-0.38,Signal flip
SHORT,2026-01-01T06:00,2975.89,2026-01-01T08:00,2982.59,2,-0.32,Signal flip
LONG,2026-01-01T08:00,2982.59,2026-01-09T19:00,3080.6,203,3.19,Signal flip
SHORT,2026-01-09T19:00,3080.6,2026-01-12T06:00,3154.79,59,-2.45,Signal flip
LONG,2026-01-12T06:00,3154.79,2026-01-12T14:00,3105.41,8,-1.67,Signal flip
SHORT,2026-01-12T14:00,3105.41,2026-01-12T15:00,3130.17,1,-0.89,Signal flip
LONG,2026-01-12T15:00,3130.17,2026-01-12T18:00,3108.28,3,-0.8,Signal flip
SHORT,2026-01-12T18:00,3108.28,2026-01-13T10:00,3134.73,16,-0.94,Signal flip
LONG,2026-01-13T10:00,3134.73,2026-01-20T01:00,3193.28,159,1.77,Signal flip
SHORT,2026-01-20T01:00,3193.28,2026-02-25T23:00,2057.48,886,55.1,Signal flip
LONG,2026-02-25T23:00,2057.48,2026-02-28T06:00,1842.45,55,-10.55,Signal flip
SHORT,2026-02-28T06:00,1842.45,2026-03-01T09:00,1980.69,27,-7.08,Signal flip
LONG,2026-03-01T09:00,1980.69,2026-03-02T07:00,1941.66,22,-2.07,Signal flip
SHORT,2026-03-02T07:00,1941.66,2026-03-02T15:00,2047.33,8,-5.26,Signal flip
LONG,2026-03-02T15:00,2047.33,2026-03-07T16:00,1977.26,121,-3.52,Signal flip
SHORT,2026-03-07T16:00,1977.26,2026-03-10T06:00,2043.76,62,-3.35,Signal flip
LONG,2026-03-10T06:00,2043.76,2026-03-20T16:00,2137.31,250,4.48,Signal flip
SHORT,2026-03-20T16:00,2137.31,2026-03-25T08:00,2176.64,112,-1.91,Signal flip
LONG,2026-03-25T08:00,2176.64,2026-03-26T11:00,2068.44,27,-5.07,Signal flip
SHORT,2026-03-26T11:00,2068.44,2026-04-01T05:00,2122.67,138,-2.65,Signal flip
LONG,2026-04-01T05:00,2122.67,2026-04-03T01:00,2050.61,44,-3.49,Signal flip
SHORT,2026-04-03T01:00,2050.61,2026-04-06T03:00,2129.35,74,-3.8,Signal flip
LONG,2026-04-06T03:00,2129.35,2026-04-25T02:00,2317.4,455,8.73,Signal flip
SHORT,2026-04-25T02:00,2317.4,2026-04-26T16:00,2342.92,38,-1.19,Signal flip
LONG,2026-04-26T16:00,2342.92,2026-04-27T19:00,2289.14,27,-2.4,Signal flip
SHORT,2026-04-27T19:00,2289.14,2026-05-03T06:00,2304.49,131,-0.77,Signal flip
LONG,2026-05-03T06:00,2304.49,2026-05-07T23:00,2291.06,113,-0.68,Signal flip
SHORT,2026-05-07T23:00,2291.06,2026-05-10T17:00,2364.1,66,-3.19,Signal flip
LONG,2026-05-10T17:00,2364.1,2026-05-12T08:00,2288.01,39,-3.32,Signal flip
SHORT,2026-05-12T08:00,2288.01,2026-06-15T09:00,1718.65,817,33.03,Signal flip
LONG,2026-06-15T09:00,1718.65,2026-06-19T07:00,1695.82,94,-1.43,Signal flip
SHORT,2026-06-19T07:00,1695.82,2026-06-21T05:00,1733.47,46,-2.27,Signal flip
LONG,2026-06-21T05:00,1733.47,2026-06-21T23:00,1706.94,18,-1.63,Signal flip
SHORT,2026-06-21T23:00,1706.94,2026-06-22T01:00,1743.82,2,-2.21,Signal flip
LONG,2026-06-22T01:00,1743.82,2026-06-23T08:00,1648.48,31,-5.57,Signal flip
SHORT,2026-06-23T08:00,1648.48,2026-07-02T13:00,1710.72,221,-3.74,Signal flip
LONG,2026-07-02T13:00,1710.72,2026-07-25T03:00,1858.74,542,8.55,Signal flip
SHORT,2026-07-25T03:00,1858.74,2026-07-26T15:00,1914.63,36,-3.02,Signal flip
LONG,2026-07-26T15:00,1914.63,2026-07-31T16:00,1864.57,121,-2.71,Signal flip
SHORT,2026-07-31T16:00,1864.57,2026-08-05T22:00,1906.86,126,-2.32,Signal flip
LONG,2026-08-05T22:00,1906.86,2026-08-11T03:00,1881.03,125,-1.45,Signal flip
SHORT,2026-08-11T03:00,1881.03,2026-08-17T11:00,1904.46,152,-1.33,Signal flip
LONG,2026-08-17T11:00,1904.46,2026-08-22T08:00,2423.3,117,27.14,Dataset end
