Logic,Fast_EMA,Slow_EMA,Y_Factor,Y_Value,X_Pct,Initial_Capital,Final_Equity,Total_Return_Pct,Max_Drawdown_Pct,Sharpe,Win_Rate_Pct,Profit_Factor,Total_Trades_Closed,Total_Series_Adds,M_Jan,M_Feb,M_Mar,M_Apr,M_May,M_Jun,M_Jul,M_Aug
EMA_CROSS_SAR,209,223,HOURS_ELAPSED,6.0,20,10000.0,17179.41,71.79,22.51,2.11,43.75,3.86,16,382,14.86,14.01,-7.46,2.84,2.23,17.5,-1.2,17.12
EMA_CROSS_SAR,209,223,HOURS_ELAPSED,6.0,25,10000.0,17497.05,74.97,22.48,2.15,43.75,3.92,16,325,15.41,14.0,-7.73,3.22,2.0,17.44,-1.1,18.84
EMA_CROSS_SAR,209,223,HOURS_ELAPSED,6.0,30,10000.0,17754.26,77.54,22.35,2.18,43.75,4.0,16,280,15.82,14.0,-7.8,3.49,1.83,17.42,-1.02,20.07
EMA_CROSS_SAR,209,223,HOURS_ELAPSED,6.0,50,10000.0,18393.76,83.94,21.85,2.26,43.75,4.33,16,172,16.69,14.01,-7.14,3.87,1.42,17.4,-0.76,22.35
EMA_CROSS_SAR,209,223,HOURS_ELAPSED,6.0,100,10000.0,19096.69,90.97,22.35,2.36,43.75,5.14,16,16,17.68,13.88,-4.47,3.08,0.77,17.44,-0.6,24.07
EMA_CROSS_SAR,209,223,HOURS_ELAPSED,12.0,5,10000.0,13265.14,32.65,16.53,1.48,37.5,2.57,16,477,5.57,11.99,-5.33,-1.8,3.31,17.79,-4.14,3.95
EMA_CROSS_SAR,209,223,HOURS_ELAPSED,12.0,10,10000.0,15031.34,50.31,20.07,1.83,50.0,3.44,16,420,9.79,13.85,-5.16,-0.63,3.64,18.35,-2.25,7.1
EMA_CROSS_SAR,209,223,HOURS_ELAPSED,12.0,15,10000.0,15894.76,58.95,21.38,1.95,50.0,3.71,16,364,12.01,14.09,-5.46,0.44,3.38,18.05,-1.58,9.83
EMA_CROSS_SAR,209,223,HOURS_ELAPSED,12.0,20,10000.0,16399.09,63.99,22.09,2.02,50.0,3.83,16,305,13.25,14.07,-5.94,1.19,3.05,17.8,-1.31,12.18
EMA_CROSS_SAR,209,223,HOURS_ELAPSED,12.0,25,10000.0,16757.09,67.57,22.53,2.06,50.0,3.9,16,264,14.06,14.04,-6.4,1.71,2.73,17.65,-1.17,14.18
EMA_CROSS_SAR,209,223,HOURS_ELAPSED,12.0,30,10000.0,17047.25,70.47,22.79,2.1,43.75,3.94,16,234,14.66,14.01,-6.73,2.09,2.45,17.55,-1.07,15.88
EMA_CROSS_SAR,209,223,HOURS_ELAPSED,12.0,50,10000.0,17923.61,79.24,22.88,2.21,43.75,4.18,16,155,16.17,13.98,-6.96,2.93,1.73,17.41,-0.83,20.34
EMA_CROSS_SAR,209,223,HOURS_ELAPSED,12.0,100,10000.0,19096.69,90.97,22.35,2.36,43.75,5.14,16,16,17.68,13.88,-4.47,3.08,0.77,17.44,-0.6,24.07
EMA_CROSS_SAR,209,223,HOURS_ELAPSED,24.0,5,10000.0,11838.6,18.39,12.51,1.12,37.5,1.86,16,244,3.13,8.66,-5.08,-1.71,2.34,14.86,-5.7,2.49
EMA_CROSS_SAR,209,223,HOURS_ELAPSED,24.0,10,10000.0,13484.36,34.84,16.86,1.54,37.5,2.68,16,244,6.39,12.05,-5.31,-1.6,3.19,17.84,-4.15,4.65
EMA_CROSS_SAR,209,223,HOURS_ELAPSED,24.0,15,10000.0,14619.67,46.2,19.19,1.77,43.75,3.28,16,237,9.04,13.35,-5.12,-0.98,3.38,18.35,-2.99,6.67
EMA_CROSS_SAR,209,223,HOURS_ELAPSED,24.0,20,10000.0,15397.42,53.97,20.46,1.9,50.0,3.6,16,217,10.98,13.82,-5.04,-0.28,3.27,18.29,-2.33,8.57
EMA_CROSS_SAR,209,223,HOURS_ELAPSED,24.0,25,10000.0,15949.67,59.5,21.25,1.98,50.0,3.78,16,202,12.35,13.95,-5.11,0.35,3.05,18.11,-1.95,10.37
EMA_CROSS_SAR,209,223,HOURS_ELAPSED,24.0,30,10000.0,16363.95,63.64,21.78,2.04,50.0,3.9,16,186,13.34,13.97,-5.25,0.88,2.78,17.95,-1.73,12.04
EMA_CROSS_SAR,209,223,HOURS_ELAPSED,24.0,50,10000.0,17449.03,74.49,22.79,2.17,43.75,4.2,16,128,15.55,13.88,-5.84,2.21,1.78,17.59,-1.32,17.59
EMA_CROSS_SAR,209,223,HOURS_ELAPSED,24.0,100,10000.0,19096.69,90.97,22.35,2.36,43.75,5.14,16,16,17.68,13.88,-4.47,3.08,0.77,17.44,-0.6,24.07
EMA_CROSS_SAR,209,223,HOURS_ELAPSED,48.0,5,10000.0,10987.0,9.87,9.14,0.87,37.5,1.49,16,128,1.84,5.3,-3.67,-1.16,1.5,10.62,-5.2,1.31
EMA_CROSS_SAR,209,223,HOURS_ELAPSED,48.0,10,10000.0,12111.95,21.12,12.13,1.23,37.5,2.02,16,128,3.81,8.7,-4.6,-1.53,2.46,15.13,-5.23,2.56
EMA_CROSS_SAR,209,223,HOURS_ELAPSED,48.0,15,10000.0,13126.38,31.26,15.02,1.49,37.5,2.55,16,128,5.73,10.85,-4.67,-1.46,3.04,17.09,-4.35,3.78
EMA_CROSS_SAR,209,223,HOURS_ELAPSED,48.0,20,10000.0,13982.8,39.83,16.96,1.67,43.75,3.03,16,128,7.51,12.18,-4.5,-1.17,3.35,17.9,-3.48,5.0
EMA_CROSS_SAR,209,223,HOURS_ELAPSED,48.0,25,10000.0,14690.7,46.91,18.29,1.8,50.0,3.39,16,128,9.07,12.99,-4.3,-0.77,3.48,18.19,-2.8,6.21
EMA_CROSS_SAR,209,223,HOURS_ELAPSED,48.0,30,10000.0,15273.49,52.73,19.24,1.9,50.0,3.64,16,124,10.41,13.47,-4.14,-0.36,3.49,18.23,-2.29,7.44
EMA_CROSS_SAR,209,223,HOURS_ELAPSED,48.0,50,10000.0,16798.91,67.99,21.26,2.11,50.0,4.2,16,102,13.86,14.01,-4.05,1.08,2.92,17.81,-1.33,12.38
