Logic,Fast_EMA,Slow_EMA,Total_Ret_Pct,CAGR_Pct,Alpha_Pct,Max_DD_Pct,Sharpe,Sortino,Calmar,Win_Rate_Pct,Profit_Factor,Expectancy_Pct,Total_Trades,Avg_Hold_Hours,Exposure_Pct,Fees_Applied_Pct,Pos_Months,M_Jan,M_Feb,M_Mar,M_Apr,M_May,M_Jun,M_Jul,M_Aug
PRICE_EMA_LONG_ONLY,29,N/A,-18.07,-26.78,0.61,41.82,-0.61,-0.7,-0.64,18.75,0.91,-0.04,320,8.6,49.16,32.0,5,0.71,-14.5,6.94,0.13,-16.45,-8.66,2.91,13.14
PRICE_EMA_LONG_ONLY,30,N/A,-21.86,-32.01,-3.18,44.03,-0.8,-0.92,-0.73,18.58,0.88,-0.06,323,8.5,49.11,32.3,4,-0.13,-14.65,5.22,0.58,-16.73,-9.09,2.77,11.34
PRICE_EMA_LONG_ONLY,31,N/A,-16.64,-24.77,2.04,41.26,-0.54,-0.62,-0.6,18.53,0.92,-0.04,313,8.8,49.11,31.3,5,1.09,-13.13,4.88,1.31,-15.8,-7.96,3.1,11.81
PRICE_EMA_LONG_ONLY,32,N/A,-14.26,-21.39,4.41,39.68,-0.43,-0.49,-0.54,18.63,0.93,-0.03,306,9.0,49.29,30.6,5,0.97,-12.35,4.69,1.62,-13.91,-7.79,2.21,12.22
PRICE_EMA_LONG_ONLY,33,N/A,-15.66,-23.38,3.02,40.66,-0.49,-0.57,-0.58,18.03,0.92,-0.04,305,9.0,49.21,30.5,5,1.24,-13.59,3.96,1.94,-14.65,-7.4,2.29,12.54
PRICE_EMA_LONG_ONLY,34,N/A,-10.95,-16.59,7.73,37.35,-0.27,-0.31,-0.44,18.18,0.96,-0.02,297,9.2,49.05,29.7,5,0.84,-13.12,5.37,2.0,-12.65,-7.36,3.16,13.29
PRICE_EMA_LONG_ONLY,35,N/A,-8.37,-12.78,10.31,35.46,-0.16,-0.18,-0.36,18.47,0.98,-0.01,287,9.6,48.98,28.7,4,-0.05,-11.31,5.39,2.23,-11.5,-7.18,2.38,14.08
PRICE_EMA_LONG_ONLY,36,N/A,-6.83,-10.47,11.85,34.5,-0.09,-0.11,-0.3,19.0,0.99,-0.0,279,9.8,48.95,27.9,5,0.32,-10.05,4.89,1.63,-12.03,-6.05,2.73,14.08
PRICE_EMA_LONG_ONLY,37,N/A,-14.31,-21.46,4.37,39.76,-0.43,-0.49,-0.54,18.02,0.93,-0.03,283,9.7,49.0,28.3,5,0.45,-12.39,2.28,0.3,-10.94,-7.17,0.81,13.88
PRICE_EMA_LONG_ONLY,38,N/A,-11.98,-18.1,6.69,38.12,-0.32,-0.36,-0.47,18.32,0.95,-0.03,273,10.1,49.05,27.3,4,0.7,-10.5,-0.39,1.33,-9.97,-6.48,0.74,14.07
PRICE_EMA_LONG_ONLY,39,N/A,-14.19,-21.28,4.49,39.67,-0.42,-0.47,-0.54,17.58,0.93,-0.03,273,10.0,48.93,27.3,4,0.43,-12.61,0.91,-0.35,-10.14,-6.43,0.38,15.2
PRICE_EMA_LONG_ONLY,40,N/A,-7.79,-11.91,10.89,35.17,-0.13,-0.15,-0.34,18.15,0.98,-0.01,270,10.1,48.88,27.0,5,0.17,-9.53,1.45,0.26,-8.86,-5.73,1.07,15.2
PRICE_EMA_LONG_ONLY,41,N/A,-7.87,-12.03,10.81,35.39,-0.14,-0.15,-0.34,18.18,0.98,-0.01,264,10.3,48.75,26.4,5,0.89,-9.01,1.56,1.25,-11.38,-6.14,1.68,15.4
PRICE_EMA_LONG_ONLY,42,N/A,-5.03,-7.76,13.65,33.44,-0.02,-0.02,-0.23,17.37,1.0,0.0,259,10.5,48.79,25.9,5,1.11,-8.57,5.08,0.57,-11.15,-6.62,1.33,15.63
PRICE_EMA_LONG_ONLY,43,N/A,-2.11,-3.29,16.56,31.39,0.11,0.12,-0.1,17.19,1.03,0.01,256,10.6,48.62,25.6,5,0.19,-5.54,5.03,0.88,-10.83,-7.35,1.76,16.11
PRICE_EMA_LONG_ONLY,44,N/A,-3.68,-5.69,15.0,32.49,0.04,0.05,-0.18,18.4,1.02,0.01,250,10.9,48.64,25.0,5,1.6,-6.43,5.03,0.45,-10.55,-7.89,0.39,16.11
PRICE_EMA_LONG_ONLY,45,N/A,-3.15,-4.89,15.52,32.1,0.06,0.07,-0.15,17.62,1.02,0.01,244,11.1,48.55,24.4,5,1.67,-5.99,4.58,0.39,-11.02,-7.66,0.99,16.32
PRICE_EMA_LONG_ONLY,46,N/A,-3.48,-5.4,15.19,32.68,0.05,0.06,-0.17,17.43,1.02,0.01,241,11.3,48.59,24.1,5,1.43,-5.99,4.01,1.1,-11.02,-8.31,0.79,17.07
PRICE_EMA_LONG_ONLY,47,N/A,-8.29,-12.66,10.38,36.03,-0.16,-0.18,-0.35,16.46,0.98,-0.01,243,11.1,48.36,24.3,5,1.19,-5.99,2.39,0.68,-11.86,-10.04,0.85,16.95
PRICE_EMA_LONG_ONLY,48,N/A,-5.11,-7.87,13.57,33.93,-0.02,-0.02,-0.23,17.45,1.0,0.0,235,11.5,48.21,23.5,5,2.23,-5.89,4.12,0.96,-12.41,-9.37,0.86,17.21
PRICE_EMA_LONG_ONLY,49,N/A,-5.27,-8.12,13.4,34.04,-0.03,-0.03,-0.24,18.26,1.0,0.0,230,11.7,48.07,23.0,4,2.93,-6.28,4.72,-0.17,-12.41,-9.19,0.81,17.14
PRICE_EMA_LONG_ONLY,50,N/A,-5.32,-8.2,13.35,34.11,-0.03,-0.03,-0.24,18.5,1.0,0.0,227,11.9,48.05,22.7,4,3.11,-6.77,5.25,-0.03,-12.71,-9.19,0.68,17.28
PRICE_EMA_LONG_ONLY,51,N/A,-6.79,-10.42,11.88,35.13,-0.09,-0.1,-0.3,18.58,0.99,-0.01,226,12.0,48.29,22.6,5,2.82,-6.77,5.3,1.29,-12.82,-11.12,0.61,16.92
PRICE_EMA_LONG_ONLY,52,N/A,-7.61,-11.64,11.07,35.7,-0.13,-0.14,-0.33,17.86,0.98,-0.01,224,12.1,48.32,22.4,5,3.13,-6.38,4.06,1.08,-13.48,-10.43,0.07,17.29
PRICE_EMA_LONG_ONLY,53,N/A,-8.56,-13.06,10.12,36.36,-0.17,-0.19,-0.36,18.02,0.97,-0.02,222,12.2,48.21,22.2,5,3.35,-4.95,4.06,1.58,-14.2,-12.87,0.69,16.99
PRICE_EMA_LONG_ONLY,54,N/A,-9.43,-14.35,9.25,36.96,-0.21,-0.23,-0.39,17.43,0.96,-0.02,218,12.4,48.36,21.8,5,3.72,-6.6,4.57,1.06,-14.26,-12.15,0.11,17.31
PRICE_EMA_LONG_ONLY,55,N/A,-8.23,-12.57,10.45,36.64,-0.16,-0.17,-0.34,17.89,0.97,-0.01,218,12.4,48.3,21.8,5,4.35,-6.6,4.35,1.55,-14.43,-11.59,0.12,17.31
PRICE_EMA_LONG_ONLY,56,N/A,-9.72,-14.78,8.96,37.46,-0.22,-0.25,-0.39,17.81,0.96,-0.02,219,12.3,48.29,21.9,4,2.37,-6.6,4.35,1.65,-14.59,-11.38,-0.01,17.62
PRICE_EMA_LONG_ONLY,57,N/A,-6.32,-9.71,12.36,35.16,-0.07,-0.08,-0.28,17.76,0.99,-0.01,214,12.6,48.23,21.4,4,3.42,-4.14,3.35,1.64,-14.45,-10.88,-0.16,18.18
PRICE_EMA_LONG_ONLY,58,N/A,-3.63,-5.62,15.05,33.33,0.04,0.05,-0.17,17.54,1.02,0.01,211,12.8,48.21,21.1,4,3.47,-2.63,3.07,1.25,-15.12,-8.31,-0.03,17.81
PRICE_EMA_LONG_ONLY,59,N/A,-0.58,-0.9,18.1,31.85,0.17,0.19,-0.03,18.23,1.05,0.02,203,13.3,48.2,20.3,5,5.31,-4.09,3.53,3.31,-15.12,-8.32,0.21,18.03
PRICE_EMA_LONG_ONLY,60,N/A,0.52,0.82,19.2,33.29,0.21,0.24,0.02,18.41,1.06,0.03,201,13.4,48.09,20.1,5,5.34,-2.82,4.94,3.87,-15.34,-10.16,0.36,18.03
PRICE_EMA_LONG_ONLY,61,N/A,1.38,2.17,20.06,33.8,0.25,0.28,0.06,17.41,1.07,0.03,201,13.4,48.21,20.1,4,5.66,-2.07,6.4,2.68,-15.52,-9.99,-0.29,18.29
PRICE_EMA_LONG_ONLY,62,N/A,-0.14,-0.22,18.53,34.55,0.19,0.21,-0.01,17.33,1.05,0.03,202,13.4,48.2,20.2,4,6.45,-3.17,6.4,2.93,-15.52,-10.74,-0.85,18.3
PRICE_EMA_LONG_ONLY,63,N/A,0.55,0.86,19.22,33.59,0.22,0.24,0.03,17.09,1.06,0.03,199,13.5,48.12,19.9,4,5.62,-3.17,6.4,3.03,-15.32,-10.02,-0.37,18.13
PRICE_EMA_LONG_ONLY,64,N/A,3.07,4.85,21.75,31.5,0.32,0.35,0.15,16.84,1.09,0.04,196,13.7,48.09,19.6,5,5.29,-3.48,6.4,3.03,-14.7,-8.35,0.07,18.26
PRICE_EMA_LONG_ONLY,65,N/A,2.09,3.29,20.77,31.22,0.28,0.31,0.11,16.41,1.08,0.04,195,13.8,47.98,19.5,4,3.3,-3.31,6.4,3.44,-14.08,-7.7,-1.33,18.68
PRICE_EMA_LONG_ONLY,66,N/A,5.39,8.55,24.06,29.56,0.4,0.45,0.29,16.84,1.11,0.06,190,14.1,47.89,19.0,4,4.0,-3.83,6.3,4.21,-13.2,-7.23,-0.53,18.77
PRICE_EMA_LONG_ONLY,67,N/A,5.21,8.26,23.88,29.42,0.4,0.44,0.28,16.93,1.11,0.06,189,14.2,47.89,18.9,4,4.93,-4.07,5.32,4.13,-13.09,-6.53,-0.84,18.32
PRICE_EMA_LONG_ONLY,68,N/A,4.6,7.3,23.28,30.26,0.37,0.41,0.24,16.4,1.11,0.05,189,14.2,47.79,18.9,5,4.93,-2.98,5.32,3.59,-12.84,-8.66,0.14,18.12
PRICE_EMA_LONG_ONLY,69,N/A,0.88,1.38,19.56,30.89,0.23,0.25,0.04,16.32,1.07,0.03,190,14.1,47.68,19.0,4,4.93,-4.94,4.6,3.59,-12.71,-8.68,-0.69,17.9
PRICE_EMA_LONG_ONLY,70,N/A,1.64,2.58,20.32,30.2,0.26,0.28,0.09,16.85,1.07,0.04,184,14.5,47.55,18.4,4,5.13,-5.66,4.97,3.59,-12.3,-8.78,-0.5,18.41
PRICE_EMA_LONG_ONLY,71,N/A,4.57,7.24,23.24,28.81,0.37,0.41,0.25,16.94,1.11,0.05,183,14.5,47.52,18.3,5,5.13,-4.74,4.97,3.59,-12.25,-8.97,1.41,18.55
PRICE_EMA_LONG_ONLY,72,N/A,8.27,13.23,26.94,27.63,0.51,0.56,0.48,17.51,1.15,0.08,177,15.0,47.43,17.7,5,5.13,-2.97,4.97,3.59,-11.69,-8.49,1.74,18.72
PRICE_EMA_LONG_ONLY,73,N/A,9.48,15.23,28.16,26.95,0.56,0.61,0.57,18.02,1.17,0.08,172,15.4,47.36,17.2,5,5.32,-2.97,4.97,3.59,-11.29,-8.0,1.91,18.48
PRICE_EMA_LONG_ONLY,74,N/A,10.02,16.1,28.69,26.52,0.58,0.63,0.61,18.24,1.17,0.09,170,15.6,47.27,17.0,5,5.2,-2.97,4.97,3.59,-11.38,-8.0,1.69,19.57
PRICE_EMA_LONG_ONLY,75,N/A,8.39,13.42,27.06,25.96,0.52,0.56,0.52,17.75,1.15,0.08,169,15.7,47.23,16.9,5,6.15,-5.09,3.97,3.59,-11.38,-8.0,2.16,19.92
PRICE_EMA_LONG_ONLY,76,N/A,12.74,20.63,31.41,24.38,0.68,0.74,0.85,19.02,1.21,0.11,163,16.2,47.14,16.3,5,6.15,-4.79,5.38,3.85,-11.38,-7.26,2.84,20.58
PRICE_EMA_LONG_ONLY,77,N/A,13.2,21.4,31.87,24.15,0.7,0.75,0.89,19.25,1.22,0.11,161,16.4,47.23,16.1,5,6.15,-4.15,4.37,4.26,-11.23,-7.68,3.46,20.58
PRICE_EMA_LONG_ONLY,78,N/A,16.39,26.79,35.06,22.05,0.81,0.88,1.22,20.37,1.26,0.13,162,16.2,47.0,16.2,5,6.01,-4.25,4.37,4.09,-10.92,-7.04,6.04,20.2
PRICE_EMA_LONG_ONLY,79,N/A,15.44,25.18,34.12,22.63,0.77,0.84,1.11,20.25,1.25,0.12,163,16.1,46.93,16.3,5,6.01,-4.25,4.37,4.09,-11.13,-7.52,6.04,20.12
PRICE_EMA_LONG_ONLY,80,N/A,15.0,24.44,33.68,23.21,0.76,0.82,1.05,20.89,1.24,0.12,158,16.6,46.86,15.8,5,6.72,-4.25,3.08,3.6,-11.0,-7.91,6.54,20.69
PRICE_EMA_LONG_ONLY,81,N/A,12.6,20.41,31.28,24.04,0.67,0.73,0.85,20.75,1.21,0.11,159,16.5,46.84,15.9,5,6.72,-4.55,2.36,3.48,-11.26,-8.53,6.3,20.96
PRICE_EMA_LONG_ONLY,82,N/A,17.54,28.77,36.22,23.46,0.85,0.92,1.23,20.65,1.28,0.14,155,16.9,46.82,15.5,5,6.72,-2.54,2.88,4.17,-10.58,-8.53,6.59,20.96
PRICE_EMA_LONG_ONLY,83,N/A,16.38,26.79,35.06,23.02,0.81,0.87,1.16,20.0,1.26,0.13,155,16.9,46.8,15.5,5,6.72,-2.89,1.64,4.07,-9.98,-8.53,6.59,20.96
PRICE_EMA_LONG_ONLY,84,N/A,16.79,27.48,35.47,22.57,0.82,0.89,1.22,20.26,1.27,0.14,153,17.1,46.75,15.3,5,6.72,-2.62,1.03,4.58,-9.68,-8.34,6.59,20.55
PRICE_EMA_LONG_ONLY,85,N/A,15.83,25.85,34.51,23.18,0.79,0.85,1.12,19.74,1.26,0.13,152,17.2,46.68,15.2,5,6.6,-2.72,1.22,4.58,-9.52,-9.23,6.59,20.55
PRICE_EMA_LONG_ONLY,86,N/A,14.07,22.87,32.75,24.19,0.73,0.78,0.95,19.61,1.23,0.12,153,17.1,46.64,15.3,5,6.8,-2.72,1.22,3.3,-10.08,-9.23,6.59,20.71
PRICE_EMA_LONG_ONLY,87,N/A,14.83,24.14,33.5,23.92,0.75,0.81,1.01,19.74,1.24,0.13,152,17.2,46.61,15.2,5,6.8,-3.34,1.35,3.43,-9.71,-9.41,6.67,21.61
PRICE_EMA_LONG_ONLY,88,N/A,10.46,16.84,29.14,26.52,0.6,0.64,0.64,19.08,1.19,0.1,152,17.2,46.57,15.2,5,6.97,-3.34,1.68,3.43,-9.94,-12.27,5.73,21.61
PRICE_EMA_LONG_ONLY,89,N/A,8.66,13.88,27.34,27.34,0.53,0.57,0.51,20.0,1.16,0.09,155,16.8,46.39,15.5,5,7.6,-4.23,1.34,3.43,-9.65,-13.53,5.73,21.8
PRICE_EMA_LONG_ONLY,90,N/A,4.53,7.18,23.21,28.07,0.37,0.4,0.26,18.83,1.11,0.06,154,16.8,46.3,15.4,5,6.2,-6.94,1.42,3.15,-9.48,-13.27,5.73,21.8
PRICE_EMA_LONG_ONLY,91,N/A,8.8,14.1,27.48,27.13,0.54,0.57,0.52,19.31,1.17,0.09,145,17.9,46.3,14.5,5,6.63,-6.94,2.43,4.66,-9.46,-13.22,6.49,22.24
PRICE_EMA_LONG_ONLY,92,N/A,8.07,12.91,26.75,27.47,0.51,0.54,0.47,19.05,1.16,0.09,147,17.6,46.27,14.7,5,6.63,-6.83,2.43,4.43,-9.26,-13.64,6.15,22.24
PRICE_EMA_LONG_ONLY,93,N/A,7.87,12.59,26.55,27.47,0.5,0.53,0.46,19.18,1.16,0.09,146,17.7,46.16,14.6,5,6.63,-7.31,2.68,4.43,-9.26,-13.64,5.91,22.62
PRICE_EMA_LONG_ONLY,94,N/A,9.04,14.5,27.72,26.38,0.54,0.58,0.55,19.44,1.18,0.1,144,17.9,46.02,14.4,5,5.28,-6.85,3.05,4.99,-8.3,-13.46,5.91,22.27
PRICE_EMA_LONG_ONLY,95,N/A,10.75,17.32,29.43,25.81,0.61,0.65,0.67,19.58,1.2,0.11,143,18.0,45.86,14.3,5,5.07,-6.85,4.16,4.61,-8.4,-12.38,5.92,22.17
PRICE_EMA_LONG_ONLY,96,N/A,10.9,17.58,29.58,25.22,0.61,0.65,0.7,18.92,1.2,0.1,148,17.4,45.88,14.8,5,4.76,-7.57,4.16,5.42,-7.67,-12.38,5.53,22.17
PRICE_EMA_LONG_ONLY,97,N/A,8.77,14.06,27.45,25.54,0.54,0.57,0.55,17.69,1.17,0.09,147,17.5,45.82,14.7,5,4.76,-6.83,2.04,5.42,-7.67,-12.28,5.14,21.67
PRICE_EMA_LONG_ONLY,98,N/A,9.58,15.38,28.25,24.8,0.57,0.6,0.62,18.18,1.18,0.1,143,17.9,45.82,14.3,5,5.02,-6.83,2.31,5.86,-7.54,-12.05,4.8,21.33
PRICE_EMA_LONG_ONLY,99,N/A,10.75,17.31,29.42,24.99,0.61,0.64,0.69,17.02,1.2,0.11,141,18.2,45.73,14.1,5,5.02,-6.3,2.31,6.29,-7.54,-12.26,5.15,21.33
PRICE_EMA_LONG_ONLY,100,N/A,9.62,15.45,28.29,24.91,0.57,0.6,0.62,17.14,1.18,0.1,140,18.3,45.66,14.0,5,5.02,-7.64,2.31,6.53,-7.01,-12.71,5.15,21.47
PRICE_EMA_LONG_ONLY,101,N/A,9.91,15.93,28.59,25.64,0.58,0.61,0.62,17.14,1.19,0.11,140,18.3,45.73,14.0,5,5.02,-7.64,2.31,6.53,-7.29,-13.3,6.48,21.47
PRICE_EMA_LONG_ONLY,102,N/A,11.63,18.77,30.3,24.96,0.64,0.68,0.75,17.65,1.21,0.12,136,18.8,45.62,13.6,5,5.02,-7.05,2.31,6.86,-7.29,-12.78,6.48,21.47
PRICE_EMA_LONG_ONLY,103,N/A,13.02,21.1,31.7,24.21,0.69,0.73,0.87,17.78,1.23,0.13,135,18.9,45.66,13.5,5,5.02,-6.52,2.31,6.29,-6.04,-13.08,6.48,21.73
PRICE_EMA_LONG_ONLY,104,N/A,11.54,18.63,30.21,24.21,0.64,0.67,0.77,17.65,1.21,0.12,136,18.8,45.66,13.6,5,5.02,-7.91,2.49,6.41,-6.16,-13.08,6.49,21.73
PRICE_EMA_LONG_ONLY,105,N/A,12.31,19.91,30.99,23.58,0.67,0.7,0.84,18.18,1.22,0.13,132,19.3,45.59,13.2,5,5.39,-7.54,2.16,5.75,-5.74,-12.74,6.56,21.73
PRICE_EMA_LONG_ONLY,106,N/A,10.08,16.21,28.76,24.08,0.59,0.61,0.67,17.29,1.19,0.11,133,19.2,45.52,13.3,5,5.39,-9.29,2.16,5.75,-5.47,-12.74,6.15,21.73
PRICE_EMA_LONG_ONLY,107,N/A,10.54,16.97,29.22,24.26,0.6,0.63,0.7,17.42,1.2,0.12,132,19.3,45.41,13.2,5,5.44,-10.26,2.03,5.75,-5.5,-11.91,6.15,22.53
PRICE_EMA_LONG_ONLY,108,N/A,9.2,14.77,27.88,25.18,0.55,0.58,0.59,16.79,1.18,0.11,131,19.4,45.34,13.1,5,4.15,-10.26,2.03,5.03,-5.37,-11.42,6.15,22.53
PRICE_EMA_LONG_ONLY,109,N/A,10.64,17.14,29.32,23.93,0.61,0.64,0.72,16.79,1.2,0.12,131,19.4,45.36,13.1,5,4.15,-9.07,2.03,5.38,-5.37,-11.42,5.79,22.53
PRICE_EMA_LONG_ONLY,110,N/A,8.88,14.24,27.56,25.14,0.54,0.57,0.57,16.79,1.18,0.11,131,19.4,45.36,13.1,5,4.15,-9.03,1.17,5.32,-5.98,-11.51,5.79,22.53
PRICE_EMA_LONG_ONLY,111,N/A,6.84,10.9,25.51,26.09,0.46,0.48,0.42,16.67,1.15,0.09,132,19.2,45.3,13.2,5,3.51,-9.57,1.12,5.32,-6.16,-11.9,5.79,22.53
PRICE_EMA_LONG_ONLY,112,N/A,3.14,4.96,21.82,28.34,0.32,0.33,0.18,16.3,1.1,0.06,135,18.8,45.25,13.5,4,3.51,-9.46,-0.49,5.32,-6.81,-12.7,5.33,22.53
PRICE_EMA_LONG_ONLY,113,N/A,2.03,3.19,20.7,29.11,0.27,0.28,0.11,16.18,1.09,0.05,136,18.6,45.27,13.6,4,3.51,-9.93,-1.88,5.45,-5.85,-12.97,5.33,22.53
PRICE_EMA_LONG_ONLY,114,N/A,-0.48,-0.74,18.2,29.93,0.17,0.17,-0.02,14.71,1.06,0.04,136,18.6,45.21,13.6,4,3.76,-9.72,-1.43,5.45,-6.23,-14.42,3.94,22.53
PRICE_EMA_LONG_ONLY,115,N/A,-1.29,-2.02,17.38,30.34,0.13,0.14,-0.07,14.81,1.05,0.03,135,18.8,45.21,13.5,4,3.76,-9.72,-1.43,5.17,-6.23,-14.69,3.7,22.53
PRICE_EMA_LONG_ONLY,116,N/A,-0.47,-0.73,18.21,29.81,0.17,0.17,-0.02,15.04,1.06,0.04,133,19.0,45.23,13.3,4,3.76,-9.17,-1.43,5.17,-6.23,-14.57,3.78,22.53
PRICE_EMA_LONG_ONLY,117,N/A,-0.33,-0.51,18.35,29.71,0.17,0.18,-0.02,15.67,1.06,0.04,134,18.9,45.12,13.4,4,3.76,-9.24,-1.43,5.17,-6.42,-14.2,3.78,22.53
PRICE_EMA_LONG_ONLY,118,N/A,1.2,1.88,19.87,28.64,0.24,0.25,0.07,15.91,1.08,0.05,132,19.1,45.05,13.2,4,3.76,-7.91,-0.96,5.17,-6.42,-14.56,3.78,22.53
